roi,kind,orientation,x,y,width,height,note,l1_mean,l2_mean,delta_mean,l1_std,l2_std,delta_std,l1_dark_mean,l2_dark_mean,delta_dark_mean,l1_bright_mean,l2_bright_mean,delta_bright_mean,l1_modulation,l2_modulation,delta_modulation,l1_profile_grad,l2_profile_grad,delta_profile_grad,l1_fit_rmse,l2_fit_rmse,delta_fit_rmse,l1_fit_nrmse,l2_fit_nrmse,delta_fit_nrmse,l1_fit_sigma,l2_fit_sigma,delta_fit_sigma,l1_fit_bar_width,l2_fit_bar_width,delta_fit_bar_width,l1_fit_start,l2_fit_start,delta_fit_start,l1_fit_scale,l2_fit_scale,delta_fit_scale,l1_fit_offset,l2_fit_offset,delta_fit_offset,l1_p1,l2_p1,delta_p1,l1_p99,l2_p99,delta_p99,l1_spread_99_1,l2_spread_99_1,delta_spread_99_1,l1_seam_jump,l2_seam_jump,delta_seam_jump,l1_seam_ratio,l2_seam_ratio,delta_seam_ratio
left_coarse_vertical,bars,vertical,90,20,240,170,three coarse vertical bars,0.18784478306770325,0.17496058344841003,-0.012884199619293213,0.07878308743238449,0.06130669638514519,-0.017476391047239304,0.07292057052254677,0.08442839607596397,0.0115078255534172,0.2631609082221985,0.23548222929239274,-0.027678678929805772,0.5660542152147983,0.47217510528769635,-0.09387910992710191,0.01804092526435852,0.006749001331627369,-0.011291923932731152,0.060800813138484955,0.047744546085596085,-0.01305626705288887,0.31960000635867386,0.3160763621085211,-0.00352364425015278,3.0,6.0,3.0,40.8,39.42857142857143,-1.3714285714285666,0.0,3.0612244897959187,3.0612244897959187,0.09989149123430252,0.09075448662042618,-0.009137004613876343,0.1387314647436142,0.12886951863765717,-0.009861946105957031,,,,,,,,,,,,,,,
right_coarse_horizontal,bars,horizontal,840,15,150,115,top-right horizontal triplet,0.16436713933944702,0.1633431315422058,-0.001024007797241211,0.06333643943071365,0.04462596774101257,-0.01871047168970108,0.11991179436445236,0.12749980986118317,0.007588015496730813,0.22150470912456513,0.2087065577507019,-0.012798151373863226,0.29756298749946986,0.2415383993649456,-0.05602458813452427,0.009735899046063423,0.00541503494605422,-0.004320864100009203,0.02262653224170208,0.017055567353963852,-0.005570964887738228,0.22271762056565847,0.21002647929169438,-0.01269114127396409,5.0,5.0,0.0,19.55,19.55,0.0,2.4642857142857144,2.4642857142857144,0.0,0.09171362966299057,0.07650176435709,-0.015211865305900574,0.11984455585479736,0.126205176115036,0.0063606202602386475,,,,,,,,,,,,,,,
right_coarse_vertical,bars,vertical,660,15,160,150,top-right vertical triplet,0.1865798681974411,0.17558401823043823,-0.010995849967002869,0.06520631164312363,0.046556420624256134,-0.018649891018867493,0.12497544065117835,0.13200254142284393,0.007027100771665573,0.24887010008096694,0.22053882330656052,-0.028331276774406416,0.3314060111211166,0.25113728697176313,-0.08026872414935349,0.016536394134163857,0.00631179753690958,-0.010224596597254276,0.015534043312072754,0.006375817582011223,-0.009158225730061531,0.12538105664575425,0.0720136134741372,-0.05336744317161704,8.0,8.0,0.0,21.714285714285715,21.714285714285715,0.0,30.252100840336134,30.252100840336134,0.0,0.155137300491333,0.1181987076997757,-0.03693859279155731,0.09349321573972702,0.10466154664754868,0.011168330907821655,,,,,,,,,,,,,,,
center_background,background,,350,330,260,260,empty field region,0.25900283455848694,0.22926953434944153,-0.02973330020904541,0.0076480223797261715,0.004923319444060326,-0.002724702935665846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24194024488329888,0.219023464769125,-0.02291678011417389,0.2789714825153351,0.24385836422443388,-0.03511311829090122,0.037031237632036224,0.024834899455308895,-0.012196338176727328,,,,,,
center_vertical_seam,seam,vertical,452,320,120,320,crosses stitched vertical seam,0.2589479088783264,0.22955846786499023,-0.02938944101333618,0.007972262799739838,0.005214641336351633,-0.0027576214633882046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0072747631929814816,0.01660872809588909,0.00933396490290761,2.370758234526113,13.652626739651916,11.281868505125804
